Hour,Humans,Zombies,Corpses
0,115,1,0
1,115,1,0
2,115,1,0
3,115,1,0
4,115,1,0
5,115,1,0
6,115,1,0
7,115,1,0
8,115,1,0
9,115,1,0
10,115,1,0
11,112,4,0
12,110,6,0
13,109,7,0
14,108,8,0
15,105,11,0
16,103,13,0
17,103,13,0
18,102,14,0
19,101,15,0
20,95,21,0
21,93,23,0
22,93,23,0
23,93,23,0
24,93,23,0
25,93,23,0
26,93,23,0
27,93,23,0
28,93,23,0
29,93,23,0
30,93,23,0
31,93,23,0
32,93,23,0
33,93,23,0
34,91,25,0
35,86,30,0
36,84,32,0
37,82,34,0
38,82,34,0
39,80,36,0
40,79,37,0
41,79,37,0
42,78,38,0
43,78,38,0
44,75,41,0
45,69,47,0
46,68,48,0
47,67,49,0
48,67,49,0
49,67,49,0
50,67,49,0
51,67,49,0
52,67,49,0
53,67,49,0
54,67,49,0
55,67,49,0
56,67,49,0
57,64,52,0
58,61,55,0
59,58,58,0
60,56,60,0
61,55,60,1
62,51,64,1
63,51,63,2
64,51,63,2
65,49,65,2
66,49,64,3
67,49,64,3
68,48,65,3
69,39,73,4
70,37,75,4
71,37,75,4
72,37,75,4
73,37,75,4
74,37,75,4
75,37,75,4
76,37,75,4
77,37,75,4
78,37,75,4
79,37,75,4
80,37,75,4
81,37,75,4
82,35,77,4
83,32,78,6
84,30,80,6
85,28,81,7
86,27,82,7
87,26,81,9
88,24,83,9
89,23,83,10
90,23,82,11
91,21,84,11
92,20,85,11
93,20,82,14
94,20,82,14
95,20,81,15
96,20,81,15
97,20,81,15
98,20,81,15
99,20,81,15
100,20,81,15
101,20,81,15
102,20,81,15
103,19,82,15
104,19,80,17
105,19,79,18
106,18,79,19
107,18,75,23
108,16,76,24
109,16,76,24
110,16,74,26
111,16,74,26
112,16,74,26
113,16,70,30
114,2,84,30